,ACTIVITY_DATE,DAY_OF_WEEK,ACTIVITY_HOUR,ACTIVITY_NO,CUSTOMER_NUMBER,ACTIVITY_NAME
3,2019-01-02,Wed,9,27,630178,MB_INTEREST_RATE_VIEW
2448885,2019-01-02,Wed,9,1,630178,LOGIN
6087103,2019-01-02,Wed,9,4,630178,QUERY_ACCOUNT_INFORMATION
8653233,2019-01-02,Wed,9,2,630178,TRANSACTION_OVERVIEW_QUERY
9732403,2019-01-02,Wed,9,1,630178,LOGOUT
13231642,2019-01-02,Wed,9,1,630178,MB_SET_PIN
13327796,2019-01-02,Wed,9,1,630178,AUTHENTICATION
5,2019-01-02,Wed,11,12,630178,MB_INTEREST_RATE_VIEW
2448888,2019-01-02,Wed,11,4,630178,LOGIN
6087108,2019-01-02,Wed,11,3,630178,QUERY_ACCOUNT_INFORMATION
9732402,2019-01-02,Wed,11,1,630178,LOGOUT
13301386,2019-01-02,Wed,11,2,630178,CHANGE_PASSWORD
7,2019-01-07,Mon,23,4,630178,MB_INTEREST_RATE_VIEW
2448887,2019-01-07,Mon,23,2,630178,LOGIN
6087102,2019-01-07,Mon,23,2,630178,QUERY_ACCOUNT_INFORMATION
9732401,2019-01-07,Mon,23,1,630178,LOGOUT
6,2019-01-10,Thu,15,10,630178,MB_INTEREST_RATE_VIEW
2448878,2019-01-10,Thu,15,2,630178,LOGIN
9732393,2019-01-10,Thu,15,1,630178,LOGOUT
1,2019-01-10,Thu,18,16,630178,MB_INTEREST_RATE_VIEW
2448886,2019-01-10,Thu,18,2,630178,LOGIN
9732397,2019-01-10,Thu,18,1,630178,LOGOUT
2448889,2019-01-12,Sat,11,2,630178,LOGIN
6087105,2019-01-12,Sat,11,3,630178,QUERY_ACCOUNT_INFORMATION
8653234,2019-01-12,Sat,11,2,630178,TRANSACTION_OVERVIEW_QUERY
9732399,2019-01-12,Sat,11,1,630178,LOGOUT
4,2019-01-19,Sat,8,3,630178,MB_INTEREST_RATE_VIEW
2448880,2019-01-19,Sat,8,2,630178,LOGIN
6087106,2019-01-19,Sat,8,3,630178,QUERY_ACCOUNT_INFORMATION
8653232,2019-01-19,Sat,8,2,630178,TRANSACTION_OVERVIEW_QUERY
9732398,2019-01-19,Sat,9,1,630178,LOGOUT
2448877,2019-01-22,Tue,19,2,630178,LOGIN
6087107,2019-01-22,Tue,19,1,630178,QUERY_ACCOUNT_INFORMATION
0,2019-01-22,Tue,20,2,630178,MB_INTEREST_RATE_VIEW
6087104,2019-01-22,Tue,20,5,630178,QUERY_ACCOUNT_INFORMATION
8653230,2019-01-22,Tue,20,5,630178,TRANSACTION_OVERVIEW_QUERY
9732394,2019-01-22,Tue,20,1,630178,LOGOUT
2448881,2019-01-26,Sat,9,2,630178,LOGIN
6087109,2019-01-26,Sat,9,2,630178,QUERY_ACCOUNT_INFORMATION
8653231,2019-01-26,Sat,9,1,630178,TRANSACTION_OVERVIEW_QUERY
9732391,2019-01-26,Sat,9,1,630178,LOGOUT
2,2019-01-26,Sat,17,15,630178,MB_INTEREST_RATE_VIEW
2448883,2019-01-26,Sat,17,2,630178,LOGIN
